Level,Type,Name,Catalog Number,Amount,Price,Amount,Total,Company,Vender,Status,Grant,URL
Electronics 2,Supply,２Ｐ－３Ｐアース付ＡＣコード,C-01862,1, ¥300 ,4," ¥1,200 ",,Akizuki,ordered,Kyoka B,http://akizukidenshi.com/catalog/g/gC-01862/
Electronics 2,Supply,バナナプラグ（赤色）　ＭＫ－６２１－０,C-10116,1, ¥45 ,10, ¥450 ,マル信無線電機株式会社,Akizuki,ordered,Kyoka B,http://akizukidenshi.com/catalog/g/gC-10116/
Electronics 2,Supply,バナナプラグ（黒色）　ＭＫ－６２１－１,C-10117,1, ¥45 ,10, ¥450 ,マル信無線電機株式会社,Akizuki,ordered,Kyoka B,http://akizukidenshi.com/catalog/g/gC-10117/
Electronics 2,Supply,耐熱通信機器用ビニル電線　２ｍ×１０色　導体径０．６５ｍｍ　単芯,P-08996,1, ¥620 ,2," ¥1,240 ",協和ハーモネット,Akizuki,ordered,Kyoka B,http://akizukidenshi.com/catalog/g/gP-08996/
Electronics 2,Supply,２種ポリウレタン銅線　２ＵＥＷ　０．４ｍｍ　１０ｍ,P-13709,1, ¥180 ,5, ¥900 ,協和ハーモネット,Akizuki,ordered,Kyoka B,http://akizukidenshi.com/catalog/g/gP-13709/
Electronics 2,Supply,ポリウレタン銅線（０．８ｍｍ　１０ｍ）,P-09584,1, ¥290 ,5," ¥1,450 ",協和ハーモネット,Akizuki,ordered,Kyoka B,http://akizukidenshi.com/catalog/g/gP-09584/
Electronics 2,Supply,熱収縮チューブ（スミチューブＣ　黒）　Φ１．５×０．２×１ｍ,P-06788,1, ¥40 ,10, ¥400 ,住友電工ファインポリマー,Akizuki,ordered,Kyoka B,http://akizukidenshi.com/catalog/g/gP-06788/
Electronics 2,Supply,熱収縮チューブ（スミチューブＣ　黒）　Φ３×０．２×１ｍ,P-06789,1, ¥40 ,10, ¥400 ,住友電工ファインポリマー,Akizuki,ordered,Kyoka B,http://akizukidenshi.com/catalog/g/gP-06789/
Electronics 2,Supply,耐熱電子ワイヤー　赤色　２０ｍ　導体外径０．３６ｍｍ（ＡＷＧ２８相当）,P-11608,1, ¥630 ,1, ¥630 ,住友電気工業,Akizuki,ordered,Kyoka B,http://akizukidenshi.com/catalog/g/gP-11608/
Electronics 2,Supply,耐熱電子ワイヤー　黒色　２０ｍ　導体外径０．３６ｍｍ（ＡＷＧ２８相当）,P-11609,1, ¥630 ,1, ¥630 ,住友電気工業,Akizuki,ordered,Kyoka B,http://akizukidenshi.com/catalog/g/gP-11609/
Electronics 2,Supply,コネクタ付コード２Ｐ（ＸＡ）　（赤白）,C-09402,1, ¥40 ,25," ¥1,000 ",,Akizuki,ordered,Kyoka B,http://akizukidenshi.com/catalog/g/gC-09402/
Electronics 2,Supply,ＸＨコネクタ　ベース付ポスト　トップ型　２Ｐ　Ｂ２Ｂ－ＸＨ－Ａ（ＬＦ）（ＳＮ）,C-12247,1, ¥10 ,50, ¥500 ,JST,Akizuki,ordered,Kyoka B,http://akizukidenshi.com/catalog/g/gC-12247/
Electronics 2,Supply,ＸＨコネクタ　ハウジング　２Ｐ　ＸＨＰ－２,C-12255,1, ¥5 ,50, ¥250 ,JST,Akizuki,ordered,Kyoka B,http://akizukidenshi.com/catalog/g/gC-12255/
Electronics 2,Supply,ＸＨコネクタ　ハウジング用コンタクト　ＳＸＨ－００１Ｔ－Ｐ０．６　（１００個入）,C-12265,1, ¥300 ,1, ¥300 ,JST,Akizuki,ordered,Kyoka B,http://akizukidenshi.com/catalog/g/gC-12265/
Electronics 2,Supply,３Ｐトグルスイッチ　１回路２接点,P-03774,1, ¥80 ,5, ¥400 ,Cosland,Akizuki,ordered,Kyoka B,http://akizukidenshi.com/catalog/g/gP-03774/
Electronics 2,Supply,ブラケット入ＬＥＤ（赤凸タイプ）,I-00045,1, ¥100 ,5, ¥500 ,豊田電子,Akizuki,ordered,Kyoka B,http://akizukidenshi.com/catalog/g/gI-00045/
Electronics 2,Supply,ブラケット入ＬＥＤ（緑凸タイプ）,I-00047,1, ¥100 ,5, ¥500 ,豊田電子,Akizuki,ordered,Kyoka B,http://akizukidenshi.com/catalog/g/gI-00047/
Electronics 2,Supply,汎用整流用ダイオード（６００Ｖ１Ａ）１Ｎ４００５（２５０本入）,I-04244,250, ¥750 ,1, ¥750 ,Panjit,Akizuki,ordered,Kyoka B,http://akizukidenshi.com/catalog/g/gI-04244/
